average power consumption,speed,power effiency,amplify,method,,,leg length,CoT
0.496704545,0.24,0.483184626,0.6,original,,,1,2.069602273
0.523863636,0.26,0.496312364,0.6,original,,,1,2.01486014
0.520795455,0.25,0.480034912,0.6,original,,,1,2.083181818
0.631363636,0.39,0.617710583,0.7,original,,,1,1.618881119
0.660113636,0.48,0.72714753,0.8,original,,,1,1.375236742
0.693181818,0.53,0.764590164,0.8,original,,,1,1.307890223
0.692613636,0.56,0.808531583,0.8,original,,,1,1.236810065
0.763103448,0.78,1.022141889,1,original,,,1,0.978337754
0.727596567,0.68,0.934583849,1,original,,,1,1.069994951
0.790128755,0.73,0.923900055,1,original,,,1,1.082368158
0.781724138,1.05,1.343184826,1.2,original,,,1,0.744499179
0.792528736,1.1,1.387962292,1.2,original,,,1,0.720480669
0.830128755,1.15,1.385327268,1.2,original,,,1,0.721851091
0.762758621,0.9,1.179927667,1.4,original,,,1,0.847509579
0.835632184,1.2,1.436038514,1.4,original,,,1,0.696360153
0.848275862,1.1,1.296747967,1.4,original,,,1,0.771159875
0.867356322,1.26,1.452690167,1.6,original,,,1,0.688378033
0.863678161,1.14,1.319936119,1.6,original,,,1,0.757612422
0.874186047,1.27,1.452779995,1.6,original,,,1,0.68833547
0.870646552,0.38,0.43645725,,,linear,,1,2.291175137
0.895991379,0.45,0.502236975,,,linear,,1,1.991091953
0.860043103,0.39,0.453465645,,,linear,,1,2.205238726
0.52529661,0.37,0.704363959,1,1L polynomial regressed,,,1,1.419720568
0.529491525,0.38,0.717669655,1,1L polynomial regressed,,,1,1.39339875
0.509618644,0.37,0.726033092,1,1L polynomial regressed,,,1,1.377347686
0.580441176,0.54,0.930326831,1.2,1L polynomial regressed,,,1,1.074891067
0.605882353,0.55,0.90776699,1.2,1L polynomial regressed,,,1,1.101604278
0.604411765,0.58,0.959610705,1.2,1L polynomial regressed,,,1,1.04208925
0.728119658,0.76,1.043784482,1.4,1L polynomial regressed,,,1,0.958052182
0.728888889,0.77,1.056402439,1.4,1L polynomial regressed,,,1,0.946608947
0.731282051,0.82,1.121318374,1.4,1L polynomial regressed,,,1,0.891807379
0.762205882,1.03,1.351340923,1.6,1L polynomial regressed,,,1,0.740005711
0.757058824,0.95,1.254856254,1.6,1L polynomial regressed,,,1,0.796904025
0.758308824,0.98,1.292349461,1.6,1L polynomial regressed,,,1,0.773784514
0.774,1.3,1.679586563,1.8,1L polynomial regressed,,,1,0.595384615
0.770296296,1.21,1.570824118,1.8,1L polynomial regressed,,,1,0.636608509
0.78,1.22,1.564102564,1.8,1L polynomial regressed,,,1,0.639344262
0.81016129,1.35,1.66633486,2,1L polynomial regressed,,,1,0.600119474
0.81516129,1.37,1.680648992,2,1L polynomial regressed,,,1,0.595008241
0.82,1.39,1.695121951,2,1L polynomial regressed,,,1,0.589928058
0.820491803,1.37,1.66973027,2.2,1L polynomial regressed,,,1,0.598899126
0.857580645,1.38,1.609178108,2.2,1L polynomial regressed,,,1,0.62143525
0.830296296,1.36,1.637969489,2.2,1L polynomial regressed,,,1,0.610511982
0.886229508,1.37,1.545874954,2.4,1L polynomial regressed,,,1,0.646882853
0.86704918,1.36,1.568538477,2.4,1L polynomial regressed,,,1,0.637536162
0.878119658,1.35,1.537375901,2.4,1L polynomial regressed,,,1,0.650459006
,,,,,,,,
0.469318182,0.315,0.671186441,1,1L sinusoid,,,1,1.48989899
0.432954545,0.3,0.692913386,1,1L sinusoid,,,1,1.443181818
0.4275,0.297,0.694736842,1,1L sinusoid,,,1,1.439393939
0.481022727,0.435,0.904323175,1.2,1L sinusoid,,,1,1.105799373
0.496931818,0.44,0.885433341,1.2,1L sinusoid,,,1,1.129390496
0.529318182,0.49,0.925719193,1.2,1L sinusoid,,,1,1.080241187
0.593333333,0.71,1.196629213,1.4,1L sinusoid,,,1,0.835680751
0.597471264,0.705,1.179973067,1.4,1L sinusoid,,,1,0.847476971
0.608965517,0.73,1.198754247,1.4,1L sinusoid,,,1,0.834199339
0.646781609,0.78,1.20597121,1.6,1L sinusoid,,,1,0.829207191
0.636321839,0.77,1.21007948,1.6,1L sinusoid,,,1,0.826391999
0.599885057,0.74,1.233569649,1.6,1L sinusoid,,,1,0.810655483
0.693103448,1.05,1.514925373,1.8,1L sinusoid,,,1,0.660098522
0.68091954,1.02,1.497974342,1.8,1L sinusoid,,,1,0.667568177
0.747931034,1.06,1.417242969,1.8,1L sinusoid,,,1,0.705595316
0.775697674,1.2,1.546994454,2,1L sinusoid,,,1,0.646414729
0.789883721,1.22,1.544531135,2,1L sinusoid,,,1,0.647445673
0.763255814,1.17,1.532906764,2,1L sinusoid,,,1,0.652355397
0.78244186,1.19,1.520879774,2.2,1L sinusoid,,,1,0.657514168
0.791511628,1.23,1.553988541,2.2,1L sinusoid,,,1,0.643505389
0.792790698,1.24,1.564095043,2.2,1L sinusoid,,,1,0.639347337
0.818372093,1.24,1.515203183,2.4,1L sinusoid,,,1,0.659977494
0.852790698,1.26,1.477502045,2.4,1L sinusoid,,,1,0.676818014
0.859069767,1.27,1.478343259,2.4,1L sinusoid,,,1,0.676432888
